jurisdiction,zone,lots,acres,status,verified_fields,total_fields,missing_required,untrusted_fields,blocking
or/multnomah/fairview,VC,4,15.13,partial,0,8,,land_division_parent_standards;max_coverage_pct;max_height_ft;parking_min_per_unit;quadplex_allowed;setback_front_ft;setback_rear_ft;setback_side_ft,4
or/multnomah/_unincorporated,GGR2,3,0.93,zone_missing,0,0,,,3
or/multnomah/_unincorporated,IG2,3,2.0,partial,0,3,,land_division_parent_standards;parking_min_per_unit;quadplex_allowed,3
or/multnomah/fairview,AH,3,14.68,zone_missing,0,0,,,3
or/multnomah/fairview,R/MH,3,35.64,partial,0,3,,land_division_parent_standards;parking_min_per_unit;quadplex_allowed,3
or/multnomah/fairview,VO,3,1.56,partial,0,3,,land_division_parent_standards;parking_min_per_unit;quadplex_allowed,3
or/multnomah/troutdale,IP,3,38.45,partial,0,3,,land_division_parent_standards;parking_min_per_unit;quadplex_allowed,3
or/multnomah/troutdale,MU-3,3,19.27,partial,0,11,,land_division_parent_standards;max_height_ft;min_frontage_ft;min_lot_depth_ft;min_lot_width_ft;parking_min_per_unit;quadplex_allowed;setback_front_ft;setback_front_max_ft;setback_rear_ft;setback_side_ft,3
or/multnomah/_unincorporated,CFU2,2,2.07,partial,0,3,,CFU2.like;land_division_parent_standards;parking_min_per_unit;quadplex_allowed,2
or/multnomah/_unincorporated,LDR-5,2,16.14,zone_missing,0,0,,,2
or/multnomah/_unincorporated,MR4,2,2.71,partial,0,12,,land_division_parent_standards;max_coverage_pct;max_height_ft;min_frontage_ft;min_lot_sqft;min_lot_width_ft;parking_min_per_unit;quadplex_allowed;setback_front_ft;setback_rear_ft;setback_side_ft;setback_street_side_ft,2
or/multnomah/fairview,LR7,2,9.68,zone_missing,0,0,,,2
or/multnomah/_unincorporated,C3,1,4.93,partial,0,3,,land_division_parent_standards;parking_min_per_unit;quadplex_allowed,1
or/multnomah/_unincorporated,THR,1,1.01,zone_missing,0,0,,,1
or/multnomah/_unincorporated,VLDR-SW,1,4.45,zone_missing,0,0,,,1
or/multnomah/fairview,FLX,1,0.93,zone_missing,0,0,,,1
or/multnomah/fairview,LR10,1,44.85,zone_missing,0,0,,,1
or/multnomah/fairview,MR2,1,1.75,zone_missing,0,0,,,1
or/multnomah/gresham,NC-PV,1,3.41,partial,0,3,,land_division_parent_standards;parking_min_per_unit;quadplex_allowed,1
or/multnomah/gresham,PUB-PV,1,74.03,partial,0,3,,land_division_parent_standards;parking_min_per_unit;quadplex_allowed,1
or/multnomah/gresham,RTI-SW,1,8.46,partial,0,3,,land_division_parent_standards;parking_min_per_unit;quadplex_allowed,1
or/multnomah/troutdale,UPAR-10,1,3.92,zone_missing,0,0,,,1
