layer,path,line,section,ref,followed,text
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.315.txt,1078,315.04,845,yes,"8 The development of a triplex, quadplex, townhouse, or cottage cluster is subject to Section 845, Triplexes, Quadplexes, Townhouses, and Cottage Clusters."
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.315.txt,1420,315.04,845,yes,"[12] The minimum and maximum setback standards do not apply in a Resource Protection Area shown on Comprehensive Plan Map X-SV-1, Sunnyside Village Plan Land Use Plan Map. The maximum setback standard"
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.316.txt,29,316.03,316.04,yes,"3 Permitted uses are subject to the applicable provisions of Subsection 316.04, Dimensional Standards; Section 1000, Development Standards; and Section 1100, Development Review Process."
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.316.txt,646,316.04,1015,yes,"[17] A produce stand shall be subject to the parking requirements of Section 1015, Parking and Loading."
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.407.txt,13,407.03,401,yes,"A. Dwellings are subject to the applicable provisions of Section 401 if the predominant use of the subject tract was agriculture on January 1, 1993. Dwellings are subject to the applicable provisions "
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.407.txt,13,407.03,406,yes,"A. Dwellings are subject to the applicable provisions of Section 401 if the predominant use of the subject tract was agriculture on January 1, 1993. Dwellings are subject to the applicable provisions "
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.510.txt,33,510.03,510.05,yes,"4 Permitted uses are subject to the applicable provisions of Subsection 510.04, Dimensional Standards, Subsection 510.05, Development Standards, Section 1000, Development Standards, and Section 1100, "
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.511.txt,25,511.03,511.05,yes,"2 Permitted uses are subject to the applicable provisions of Subsection 511.04, Dimensional Standards, Subsection 511.05, Development Standard, Section 1000, Development Standards, and Section 1100, D"
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.513.txt,29,513.03,513.04,yes,"3 Permitted uses are subject to the applicable provisions of Subsection 513.04, Dimensional Standards; Section 1000, Development Standards; and Section 1100, Development Review Process."
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.602.txt,25,602.03,602.05,yes,"2 Permitted uses are subject to the applicable provisions of Subsection 602.04, Dimensional Standards, Subsection 602.05, Development Standards, Section 1000, Development Standards, and Section 1100, "
or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.845.txt,9,845.01,845.02,yes,"2 Exemptions: Subsections 845.02 through 845.04 do not apply to middle housing created through a conversion of the following, provided the conversion does not add any building square footage to the ex"
or/clackamas/west-linn,or/clackamas/west-linn/48.access.txt,67,48.025,48.060,yes,b. Private drives and other access ways are subject to the requirements of CDC 48.060.
or/clackamas/west-linn,or/clackamas/west-linn/48.access.txt,69,48.025,48.060,yes,"7. Number of access points. For single-family (detached and attached) housing types, one street access point is permitted per lot or parcel when alley access cannot otherwise be provided; except that "
or/multnomah/_unincorporated,or/multnomah/_unincorporated/39.efu.txt,1343,39.4245,39.3070,yes,"(A) Except as provided in MCC 39.3070,"
or/multnomah/fairview,or/multnomah/fairview/19.115.txt,25,19.115.020,19.30,yes,"B. Conflict Clause. If there is a conflict between the standards of the residential (R) district (Chapter 19.30 FMC) and the standards of this chapter, the requirements of this chapter supersede the s"
or/multnomah/fairview,or/multnomah/fairview/19.115.txt,35,19.115.040,19.30.030,yes,"A. Lot Size. All VSF lots shall be no less than 4,000 square feet. The 4,000-square-foot-minimum lot size does not apply to townhomes, which lot size is regulated by FMC 19.30.030. Lots with single-un"
or/multnomah/gresham,or/multnomah/gresham/9.0800.parking.txt,66,9.0802,9.0822,yes,"F. By definition, parking lot design standards (Sections 9.0822 to 9.0840) do not apply to single detached"
