layer,zone,field,when,verdict,quote,text
or/multnomah/gresham,VLDR-SW,min_lot_sqft,unit_lots,stated,or/multnomah/gresham/4.1500.springwater.txt#L243-L245,"VLDR-SW LDR-SW THR-SW | A. Minimum Buildable Lot Size (square feet) | Townhouse None None 1,800 sq. ft."
or/multnomah/portland,(default),parking_max_per_unit,,stated,"or/multnomah/portland/33.266.txt#L139,L153-L155,L157,L159","OS, R, C, CI, EG, I, IR Maximum is Standard B in Table 266-2. | Table 266-2 | Maximum Allowed Parking Spaces by Use [1] | (Refer to Table 266-1 to determine which standard applies.) | Use Categories Specific Uses Standard A Standard B | Household Living 1 per 2 units No maximum, except 1.35"
or/multnomah/portland,CE,min_lot_sqft,,stated,or/multnomah/portland/33.130.txt#L397-L399,"33.130.200 Lot Size | There is no required minimum lot size for development of land in commercial/mixed use zones. | Creation of new lots is subject to the regulations of Chapter 33.613, Lots in Commercial/Mixed"
or/multnomah/portland,CE,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,CI1,min_lot_sqft,,stated,or/multnomah/portland/33.150.txt#L401-L403,"There is no required minimum lot size for development of land or for the creation of new lots in campus | institution zones. Creation of new lots is subject to the regulations of Chapter 33.613, Lots in | Commercial and Campus Institutional Zones."
or/multnomah/portland,CI2,min_lot_sqft,,stated,or/multnomah/portland/33.150.txt#L401-L403,"There is no required minimum lot size for development of land or for the creation of new lots in campus | institution zones. Creation of new lots is subject to the regulations of Chapter 33.613, Lots in | Commercial and Campus Institutional Zones."
or/multnomah/portland,CI2,setback_front_ft,on_transit_street,stated,or/multnomah/portland/33.150.txt#L574,"[5] For frontages where the maximum building setback applies, there is no minimum setback."
or/multnomah/portland,CM1,min_lot_sqft,,stated,or/multnomah/portland/33.130.txt#L397-L399,"33.130.200 Lot Size | There is no required minimum lot size for development of land in commercial/mixed use zones. | Creation of new lots is subject to the regulations of Chapter 33.613, Lots in Commercial/Mixed"
or/multnomah/portland,CM1,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,CM2,min_lot_sqft,,stated,or/multnomah/portland/33.130.txt#L397-L399,"33.130.200 Lot Size | There is no required minimum lot size for development of land in commercial/mixed use zones. | Creation of new lots is subject to the regulations of Chapter 33.613, Lots in Commercial/Mixed"
or/multnomah/portland,CM2,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,CM3,min_lot_sqft,,stated,or/multnomah/portland/33.130.txt#L397-L399,"33.130.200 Lot Size | There is no required minimum lot size for development of land in commercial/mixed use zones. | Creation of new lots is subject to the regulations of Chapter 33.613, Lots in Commercial/Mixed"
or/multnomah/portland,CM3,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,CR,min_lot_sqft,,stated,or/multnomah/portland/33.130.txt#L397-L399,"33.130.200 Lot Size | There is no required minimum lot size for development of land in commercial/mixed use zones. | Creation of new lots is subject to the regulations of Chapter 33.613, Lots in Commercial/Mixed"
or/multnomah/portland,CR,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,CX,min_lot_sqft,,stated,or/multnomah/portland/33.130.txt#L397-L399,"33.130.200 Lot Size | There is no required minimum lot size for development of land in commercial/mixed use zones. | Creation of new lots is subject to the regulations of Chapter 33.613, Lots in Commercial/Mixed"
or/multnomah/portland,CX,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,IR,min_lot_sqft,,stated,or/multnomah/portland/33.150.txt#L401-L403,"There is no required minimum lot size for development of land or for the creation of new lots in campus | institution zones. Creation of new lots is subject to the regulations of Chapter 33.613, Lots in | Commercial and Campus Institutional Zones."
