layer,zone,field,when,verdict,quote,text
or/clackamas/wilsonville,(default),parking_maneuvering_max_width_ft,,numeric,or/clackamas/wilsonville/4.planning.txt#L3538-L3541,3. Garages and Off-Street Parking Areas. The combined width of all garages (measured | from the interior of the garage door frame) and outdoor on-site parking and maneu- | vering areas shall not exceed a total of 50 percent of any street frontage (other than an | alley) (see Figure 6. Width of Garag
or/clackamas/wilsonville,(default),parking_min_per_unit,,numeric,"or/clackamas/wilsonville/4.planning.txt#L13093-L13095,L13102-L13107,L13405-L13410","C. When calculating vehicle parking maximums or bicycle parking requirements in Table 5 for | a development with multiple uses, the requirement shall be the sum of the requirements of the | several uses computed separately. | F . Redevelopment of existing parking areas to other uses is allowed. Rede"
or/clackamas/wilsonville,RN,setback_side_total_ft,,numeric,or/clackamas/wilsonville/4.planning.txt#L7263-L7265,"M. On lots greater than 10,000 SF with frontage 70 ft. or wider, the minimum combined side yard setbacks shall | total 20 ft. with a minimum of 10 ft. On other lots, minimum side setback shall be 5 ft. On a corner lot, minimum | side setbacks are 10 feet."
or/multnomah/fairview,(default),parking_front_prohibited,,numeric,or/multnomah/fairview/19.30.txt#L567-L571,"E. Garages and Off-Street Parking Areas. Garages and off-street parking areas shall not be located between a building and a public street (other than an alley), except in compliance with the standards in subsections (E)(1), (2) and (3) of this section. | 1. The garage or off-street parking area is s"
or/multnomah/fairview,(default),parking_maneuvering_max_width_ft,,numeric,or/multnomah/fairview/19.30.txt#L567-L571,"E. Garages and Off-Street Parking Areas. Garages and off-street parking areas shall not be located between a building and a public street (other than an alley), except in compliance with the standards in subsections (E)(1), (2) and (3) of this section. | 1. The garage or off-street parking area is s"
or/multnomah/fairview,VA,min_lot_sqft,,numeric,"or/multnomah/fairview/19.125.txt#L47,L49,L51,L53,L55",19.125.040 Development standards. | A. Density. The minimum density shall be no less than 20 units per net acre. The maximum density shall be no more than 30 units per acre. | B. Lot Coverage. The total of all structures shall cover no more than 65 percent of each lot in the zone. | C. Height. Build
or/multnomah/fairview,VA,setback_rear_ft,,numeric,"or/multnomah/fairview/19.125.txt#L47,L55","19.125.040 Development standards. | D. Setbacks. Front facades shall be set back from right-of-way a distance of either zero feet or 10 feet or 15 feet. There are no setback requirements for side and rear facades, except for the VA zone adjacent to NE Halsey Street where the setback for the Halsey S"
or/multnomah/fairview,VA,setback_side_ft,,numeric,"or/multnomah/fairview/19.125.txt#L47,L55","19.125.040 Development standards. | D. Setbacks. Front facades shall be set back from right-of-way a distance of either zero feet or 10 feet or 15 feet. There are no setback requirements for side and rear facades, except for the VA zone adjacent to NE Halsey Street where the setback for the Halsey S"
or/multnomah/fairview,VC,min_lot_sqft,,numeric,"or/multnomah/fairview/19.135.txt#L48,L82,L84,L86",19.135.030 Development standards. | B. Density. Residential density shall not exceed 45 units per acre. | C. Maximum Lot Coverage. Buildings shall cover no more than 75 percent of each lot in the zone. | D. Height Restrictions. Buildings within the Village commercial or Village mixed use zone shall 
or/multnomah/fairview,VMU,min_lot_sqft,,numeric,"or/multnomah/fairview/19.135.txt#L48,L82,L84,L86",19.135.030 Development standards. | B. Density. Residential density shall not exceed 45 units per acre. | C. Maximum Lot Coverage. Buildings shall cover no more than 75 percent of each lot in the zone. | D. Height Restrictions. Buildings within the Village commercial or Village mixed use zone shall 
or/multnomah/fairview,VMU,setback_front_ft,,numeric,"or/multnomah/fairview/19.135.txt#L48,L50,L64,L66,L76",19.135.030 Development standards. | A. Setbacks and Design Elements. | 2. Within the VMU zone: | a. The VMU area shall be occupied by townhomes and commercial uses. | d. All buildings shall be set back at least five feet from property lines abutting residential areas.
or/multnomah/gresham,(default),parking_front_prohibited,,numeric,or/multnomah/gresham/7.0400.middle-housing-design.txt#L243-L247,5. Off- Street Parking. All provided off- street parking areas must meet the following standards: | a. Off- street parallel parking spaces for residential uses shall be at least 8 feet wide by 24 feet long. | b. Tandem (end-to-end) parking is allowed only for individual units. | c. Two parking space
or/multnomah/gresham,(default),parking_maneuvering_max_width_ft,,numeric,"or/multnomah/gresham/7.0400.middle-housing-design.txt#L229-L232,L243-L247","3. Attached and detached garages, and carports that face the street, shall not exceed 50 percent of the | street frontage they face. The garage width and frontage length shall be calculated per parent lot. | 4. Where garages and carports face the street: | a. Garages and carports shall be set back a"
or/multnomah/gresham,MDR-24,min_density_du_per_acre,,numeric,"or/multnomah/gresham/4.0100.residential.txt#L233-L234,L244-L246",Table 4.0130: Development Requirements for Residential Land Use Districts | LDR-5 LDR-7 TR TLDR MDR-12 MDR-24 OFR | C. Minimum Net Density3 (See definition of Net Density in Article 3) | All uses except 6.22 units per 4.35 units per 6.22 units per 10 units per 8.71 units per 12.1 units per 8.71 unit
or/multnomah/gresham,RTC,min_density_du_per_acre,,numeric,"or/multnomah/gresham/4.0400.corridor.txt#L295,L316-L321",RTC SC SC-RJ CMF14 CMU CC MC | E. Minimum 18 units per acre 18 units per acre 18 units per acre for 12 units per 12 units per acre 12 units per 12 units per | Residential for Townhouses; for Townhouses; Townhouses; 24 acre acre acre | Net Density15 20 units per acre 24 units per acre units per acre 
or/multnomah/gresham,SC,min_density_du_per_acre,,numeric,"or/multnomah/gresham/4.0400.corridor.txt#L295,L316-L321",RTC SC SC-RJ CMF14 CMU CC MC | E. Minimum 18 units per acre 18 units per acre 18 units per acre for 12 units per 12 units per acre 12 units per 12 units per | Residential for Townhouses; for Townhouses; Townhouses; 24 acre acre acre | Net Density15 20 units per acre 24 units per acre units per acre 
or/multnomah/gresham,SC-RJ,min_density_du_per_acre,,numeric,"or/multnomah/gresham/4.0400.corridor.txt#L295,L316-L321",RTC SC SC-RJ CMF14 CMU CC MC | E. Minimum 18 units per acre 18 units per acre 18 units per acre for 12 units per 12 units per acre 12 units per 12 units per | Residential for Townhouses; for Townhouses; Townhouses; 24 acre acre acre | Net Density15 20 units per acre 24 units per acre units per acre 
or/multnomah/portland,(default),parking_min_per_unit,,numeric,or/multnomah/portland/33.266.txt#L10-L17,"Motor Vehicle Parking | 33.266.100 General Regulations | 33.266.110 Required Carpool and Electric Vehicle Parking | 33.266.115 Maximum Allowed Parking Spaces | 33.266.120 Development Standards for Houses, Duplexes, Triplexes, and Fourplexes | 33.266.130 Development Standards for All Other Developmen"
or/multnomah/portland,CX,open_space_min_sqft,,numeric,"or/multnomah/portland/33.130.txt#L618,L663-L664",Standards CR CM1 CM2 CM3 CE CX | Required Residential Outdoor Area Yes Yes Yes Yes Yes No | (see 33.130.228)
or/multnomah/portland,EX,min_lot_sqft,,numeric,or/multnomah/portland/33.140.txt#L451-L452,33.140.200 Lot Size | Lot size regulations are in Chapters 33.614 and 33.615.
or/multnomah/portland,RX,min_lot_sqft,,numeric,or/multnomah/portland/33.120.txt#L463-L467,RX Zone | Lot 10 foot front lot line | Adjusted Lot | Lot Remnant | Lot of Record
or/multnomah/troutdale,MU-2,min_lot_sqft,,numeric,"or/multnomah/troutdale/3.zoning-districts.txt#L684-L688,L724-L725",Dimensional Standard MU-1 MU-2 MU-3 | Minimum lot size (sq. ft.) see 3.235.A see 3.235.A see 3.235.A | Minimum lot width (ft.) 15 15 15 | Minimum lot depth (ft.) see 3.235.B see 3.235.B see 3.235.B | Minimum lot frontage (ft.) 15 15 15 | A. Minimum lot size for residential uses. The minimum lot size
or/multnomah/troutdale,MU-3,min_lot_sqft,,numeric,"or/multnomah/troutdale/3.zoning-districts.txt#L684-L688,L724-L725",Dimensional Standard MU-1 MU-2 MU-3 | Minimum lot size (sq. ft.) see 3.235.A see 3.235.A see 3.235.A | Minimum lot width (ft.) 15 15 15 | Minimum lot depth (ft.) see 3.235.B see 3.235.B see 3.235.B | Minimum lot frontage (ft.) 15 15 15 | A. Minimum lot size for residential uses. The minimum lot size
or/multnomah/wood-village,MR 2,min_lot_depth_ft,unit_lots,numeric,"or/multnomah/wood-village/220.320.txt#L64-L66,L69",Table 220-3. Housing Types Allowed | Standard MR4 and MR2 MR4 and MR2 MR4 and MR2 MR4 and MR2 | Standard Townhouse Detached Single Dwelling Duplex Triplex Quadplex Cottage Housing | - Min. lot depth (See 220.320) 80 ft 80 ft
or/multnomah/wood-village,MR 4,min_lot_depth_ft,unit_lots,numeric,"or/multnomah/wood-village/220.320.txt#L64-L66,L69",Table 220-3. Housing Types Allowed | Standard MR4 and MR2 MR4 and MR2 MR4 and MR2 MR4 and MR2 | Standard Townhouse Detached Single Dwelling Duplex Triplex Quadplex Cottage Housing | - Min. lot depth (See 220.320) 80 ft 80 ft
or/clackamas/lake-oswego,R-2,max_density_du_per_acre,,dash,"or/clackamas/lake-oswego/50.04.dimensional.txt#L1220,L1224",Maximum (units/acre) | —
or/clackamas/lake-oswego,R-6,max_density_du_per_acre,,dash,"or/clackamas/lake-oswego/50.04.dimensional.txt#L517,L518",Maximum (units/acre) | —
