layer,ref,mentions,binding,sources,sample,ruling
or/multnomah/fairview,19.162,8,1,19.70.txt 19.80.txt 19.30.txt 19.65.txt 19.85.txt,b. All buildings shall have their primary entrance(s) oriented to the street. Multi-unit housing and neighborhood commercial building entrances may include entr,
or/multnomah/gresham,7.0100,8,1,4.0400.corridor.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt 4.1400.pleasant-valley.txt,"duplexes, triplexes, quadplexes, and townhouses, and in Section 7.0100                                                            for new construction and remod",
or/clackamas/_unincorporated,1012.05,7,1,zdo.1012.txt zdo.315.txt,"Bonus Density: If a smaller lot size is necessary to provide bonus density dwelling units awarded under Subsection 1012.05(E), the minimum lot size standard of ",
or/clackamas/happy-valley,16.69.020,7,1,16.22.residential.txt 16.12.definitions.txt,"A business activity that is carried out on the same site as a dwelling unit, and which is accessory to the residential use on the site, subject to the provision",
or/clackamas/lake-oswego,50.02.002.2,7,1,50.03.002.use-table.txt 50.04.dimensional.txt,"[3]     If lot has multiple zones, e.g., R-0/EC, see LOC § 50.02.002.2.e.",
or/clackamas/lake-oswego,50.06.001.5,6,1,50.04.dimensional.txt,"[Cross-Reference: Height Limitation: see Charter Section 46A for 50 ft. Maximum Height of Structures in Residential Areas; LOC § 50.04.003.4, General Exception ",
or/multnomah/_unincorporated,11,6,1,33.100.txt 33.110.txt 33.140.txt,"preservation and protection requirements of Title 11, Trees.  See Chapter 11.50, Trees in",
or/multnomah/_unincorporated,11.50,6,1,33.100.txt 33.110.txt 33.140.txt,"preservation and protection requirements of Title 11, Trees.  See Chapter 11.50, Trees in",
or/multnomah/_unincorporated,33.700.060,6,1,33.140.txt 33.110.txt,the requirements of 33.700.060. The covenant must ensure that the affordable,
or/multnomah/_unincorporated,34,6,1,39.cfu.txt 39.efu.txt 39.mua-20.txt 39.oci.txt 39.or.txt 39.rural-residential.txt,"described in OAR 660 Division 34,",
or/multnomah/fairview,19.163.030,6,1,19.65.txt,ii. Improvements in the Setback Between a Building and a Street Lot Line. The land between any building and a street lot line must be landscaped to at least the,
or/clackamas/happy-valley,16.32,5,1,16.12.definitions.txt 16.63.land-divisions.txt 16.42.landscaping.txt,"The ""slope"" of a lot is calculated pursuant to Chapter 16.32.",
or/clackamas/milwaukie,19.402,5,1,19.200.definitions.txt,"means any ""water quality resource"" or ""habitat Conservation area"" as defined in Section 19.201 and established in Section 19.402.",
or/clackamas/rivergrove,5.050,5,1,rldo.composite.txt,Section 5.050.  Permitted Uses.  The following developments are permitted.  Uses not listed here,
or/clackamas/_unincorporated,800,4,1,zdo.315.txt zdo.1012.txt,"If a minimum lot size for the conditional use is established by Section 800, Special Use Requirements, it remains applicable.",
